F0,F1,parental.id,PW1,PW2,PW3,PW4,PW5,PW6,PW7,PW8,PW9,PW10,PW11,PW12,PW13,PW14,PW15,PW16
S,E,15,0.00048766,0.007618471,0.004365984,0.002432596,0.000240676,0.001427573,0.014846697,0.010257707,-0.002485317,-0.000570655,-0.018082554,-0.003106964,-0.019734966,0.003863838,-0.006039221,0.004179884
S,E,15,0.002597241,0.001877619,-0.004042178,-0.001775471,0.000229604,0.003819185,0.005625665,0.011421557,0.005230983,0.002468858,-0.006314904,-0.01179164,-0.000683665,0.005704492,0.003818326,0.011656585
S,E,15,-0.001546462,0.004880649,-0.001334201,-0.001713655,0.003290647,0.000497869,0.013178237,0.01236126,-0.006265083,6.07E-05,-0.007099057,-0.002347821,-0.013152978,0.007830321,-0.002615631,0.013267268
S,E,15,0.002631923,-0.003779776,-0.002072924,-0.000603514,0.004299475,0.000259048,-0.003270574,0.002316839,-0.013195877,0.002586444,-0.001894144,-0.003789331,0.007528468,-0.000347903,0.014553302,0.001465928
S,E,15,0.002266876,0.003614981,0.009120923,0.000193012,0.004327073,0.00114744,0.014836305,0.014013411,0.010445208,-0.005665893,-0.000123326,0.002674618,-0.0103186,0.01450041,-0.001780219,0.009429031
S,E,16,0.005288341,0.001049794,0.00977153,0.001428079,0.004110194,-0.003075377,-0.003062189,0.002922106,-0.004733996,0.002588951,0.014070635,-0.000706841,0.006849438,-0.017604491,-0.012109287,0.006364037
S,E,16,0.002681629,-0.005903188,-0.011786665,-0.000116319,-0.009012637,-0.001697518,-0.009835842,-0.009554013,0.019276903,0.001901131,-0.001869563,-0.000587419,0.008607724,-0.010064813,0.00789677,-0.009456635
S,E,16,0.000531791,-0.008986743,-0.011283256,-0.001285264,-0.005955907,-0.001870435,-0.009343918,-0.009720625,0.005572623,-0.001590631,-0.013117797,0.007558507,-0.00750247,-0.010766861,0.011090717,0.001889179
S,E,16,0.004484662,-0.0038957,-0.00727529,-0.001049316,-0.001409174,3.04E-05,-0.007413145,0.007211774,-0.01809845,0.004459556,0.001534926,-0.008342473,0.025569758,-0.023271856,0.011011788,0.018263317
S,E,16,-0.0007642,-0.006138301,0.005499523,-0.002283901,0.015737793,0.001095544,-0.00152142,0.004904081,-0.003008683,-0.000794793,-0.009210107,-0.014650648,0.012956711,0.000802299,-0.001371462,0.019693226
E,S,17,0.001580011,-0.003881258,-0.003752978,0.000801181,0.003432019,0.000414839,0.008441616,0.001171682,0.007051866,-0.000482373,0.002606814,0.001584902,-0.007541911,0.02697668,0.009408977,-0.004703469
E,S,17,-0.004270746,0.008977891,0.003224403,0.001562068,-0.000498565,3.00E-05,0.000628986,0.004907173,-0.005671306,-0.001068606,-0.000568257,0.002431886,-0.013710033,0.009176633,-0.011040151,-0.001859156
E,S,17,0.005525277,-0.000610256,0.002436488,-0.00349897,0.005300332,0.000241497,0.004990253,-0.001726319,-0.006943952,6.89E-05,-0.00171341,-0.00767787,0.001799353,-0.007512906,0.005064787,0.000552433
E,S,17,0.005137681,0.001674739,-0.004363559,0.002466073,0.005900212,-3.69E-05,0.000377657,0.002002285,-0.000915699,-0.000145421,-0.002207968,-0.004732847,0.005317089,-0.0251175,-0.012096446,0.002501179
E,S,18,0.012031292,0.00589173,-0.000777958,-0.001150454,-0.000244452,-0.00236123,0.001325194,0.003826011,-0.00651314,-0.002555871,0.005771665,-0.010889426,0.003456453,0.022225513,0.014427196,0.008689917
E,S,18,-0.002953786,0.00318031,-0.00037676,-0.001869432,-0.001578108,0.001470509,0.009185281,0.001809674,-0.004344907,-0.001208292,0.004098741,0.001107927,0.006928713,0.009124404,-0.008536322,0.000367443
E,S,18,0.00504877,0.004546987,0.009407505,0.001139533,0.00111013,-0.000532583,0.00446687,0.001546698,0.005256575,0.001896676,0.014284659,0.001433266,0.005605624,0.002955917,-0.01971349,-0.005157184
E,S,18,0.001221777,0.001047175,-0.000163517,0.001692033,0.002112506,-0.002109359,0.001753961,-0.001936035,-0.002694302,7.00E-05,0.012587118,0.009207788,0.014293294,0.009237627,0.00793366,-0.003468671
